,stock,symbol
0,360 ONE WAM Ltd.,360ONE.NS
1,3M India Ltd.,3MINDIA.NS
2,ABB India Ltd.,ABB.NS
3,ACC Ltd.,ACC.NS
4,ACME Solar Holdings Ltd.,ACMESOLAR.NS
5,AIA Engineering Ltd.,AIAENG.NS
6,APL Apollo Tubes Ltd.,APLAPOLLO.NS
7,AU Small Finance Bank Ltd.,AUBANK.NS
8,Aadhar Housing Finance Ltd.,AADHARHFC.NS
9,Aarti Industries Ltd.,AARTIIND.NS
10,Aavas Financiers Ltd.,AAVAS.NS
11,Abbott India Ltd.,ABBOTINDIA.NS
12,Action Construction Equipment Ltd.,ACE.NS
13,Adani Energy Solutions Ltd.,ADANIENSOL.NS
14,Adani Enterprises Ltd.,ADANIENT.NS
15,Adani Green Energy Ltd.,ADANIGREEN.NS
16,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS
17,Adani Power Ltd.,ADANIPOWER.NS
18,Adani Total Gas Ltd.,ATGL.NS
19,Adani Wilmar Ltd.,AWL.NS
20,Aditya Birla Capital Ltd.,ABCAPITAL.NS
21,Aditya Birla Fashion and Retail Ltd.,ABFRL.NS
22,Aditya Birla Real Estate Ltd.,ABREL.NS
23,Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS
24,Aegis Logistics Ltd.,AEGISLOG.NS
25,Afcons Infrastructure Ltd.,AFCONS.NS
26,Affle (India) Ltd.,AFFLE.NS
27,Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS
28,Akums Drugs and Pharmaceuticals Ltd.,AKUMS.NS
29,Alembic Pharmaceuticals Ltd.,APLLTD.NS
30,Alivus Life Sciences Ltd.,ALIVUS.NS
31,Alkem Laboratories Ltd.,ALKEM.NS
32,Alkyl Amines Chemicals Ltd.,ALKYLAMINE.NS
33,Alok Industries Ltd.,ALOKINDS.NS
34,Amara Raja Energy & Mobility Ltd.,ARE&M.NS
35,Amber Enterprises India Ltd.,AMBER.NS
36,Ambuja Cements Ltd.,AMBUJACEM.NS
37,Anand Rathi Wealth Ltd.,ANANDRATHI.NS
38,Anant Raj Ltd.,ANANTRAJ.NS
39,Angel One Ltd.,ANGELONE.NS
40,Apar Industries Ltd.,APARINDS.NS
41,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS
42,Apollo Tyres Ltd.,APOLLOTYRE.NS
43,Aptus Value Housing Finance India Ltd.,APTUS.NS
44,Asahi India Glass Ltd.,ASAHIINDIA.NS
45,Ashok Leyland Ltd.,ASHOKLEY.NS
46,Asian Paints Ltd.,ASIANPAINT.NS
47,Aster DM Healthcare Ltd.,ASTERDM.NS
48,AstraZenca Pharma India Ltd.,ASTRAZEN.NS
49,Astral Ltd.,ASTRAL.NS
50,Atul Ltd.,ATUL.NS
51,Aurobindo Pharma Ltd.,AUROPHARMA.NS
52,Authum Investment & Infrastructure Ltd.,AIIL.NS
53,Avenue Supermarts Ltd.,DMART.NS
54,Axis Bank Ltd.,AXISBANK.NS
55,BASF India Ltd.,BASF.NS
